RRT	Group	Class	Exclude	MF	VOC	Year	3-2378_191101_40_1_c.CDF	4-2379_191101_41_2_h.CDF	5-2381_191101_43_4_hxn.CDF	6-2382_191101_44_5_h.CDF	7-2383_191101_45_6_n.CDF	8-2384_191101_46_7_hxn.CDF	9-2385_191101_47_8_h.CDF	10-2386_191101_48_9_n.CDF	11-2387_191101_49_11_n.CDF	12-2389_191101_51_19_c.CDF	13-2390_191101_52_blank_1.CDF	14-2391_191101_53_1_c.CDF	15-2392_191101_54_2_h.CDF	16-2393_191101_55_3_hxn.CDF	17-2394_191101_56_4_hxn.CDF	18-2395_191101_57_5_h.CDF	19-2396_191101_58_6_n.CDF	20-2397_191101_59_7_hxn.CDF	23-2403_191101_61_9_n.CDF	24-2404_191101_62_11_n.CDF	25-2406_191101_64_19_c.CDF	26-2407_191101_65_blank_1.CDF	27-2408_191101_66_C_1.CDF	28-2409_191101_67_C_2.CDF	29-2410_191101_68_C_3.CDF	30-2411_191101_69_LN_1.CDF	31-2412_191101_70_LN_2.CDF	32-2414_191101_72_blank.CDF	33-2415_191101_73_C_1.CDF	34-2416_191101_74_C_2.CDF	35-2417_191101_75_C_3.CDF	36-2418_191101_76_LN_1.CDF	37-2419_191101_77_LN_2.CDF	38-2420_191101_78_LN_3.CDF	39-2421_191101_79_blank.CDF	44-2500_191104_50_12_c.CDF	45-2502_191104_63_12_c.CDF	46-2503_191104_71_LN_3.CDF	47-2554_191108_60_8_h.CDF	48-2556_191108_42_3_hxn.CDF
0.209	OTHER	sulfo	Y	O2S	sulfur dioxide	2019	5.805354346	5.183321141	4.89691859	5.864677372	4.336363306	4.483436163	4.209373758	4.474208384	5.274758656	8.313102158	8.641149921	4.650958736	5.718758393	6.97439971	6.253675913	6.664394777	8.139553573	4.811707198	5.826557242	4.445704573	8.995177615	5.758477656	8.026638581	5.209526282	5.778055559	6.824741029	6.95535205	5.687178463	4.071615952	6.181003675	5.555464776	5.660333231	5.241488867	4.214506298	7.159236349	3.568452229	2.369328976	3.01220942	4.812349092	4.163711655
0.218	OVOC	aldehyde	Y	C3H4O	2-propenal	2019	3.323261945	3.81595827	3.620230301	3.140518434	5.461825834	3.234721218	3.117970352	4.750460133	4.443492582	6.615061534	5.008758455	5.63692318	5.192043516	4.163353071	3.375603663	5.178144577	2.181890819	5.088609977	2.483057131	2.53918333	3.201009635	2.586277127	4.193569419	4.631413543	3.863339261	7.153306342	3.461732431	2.706314567	3.643400337	5.245790732	2.876502868	3.551506188	3.806080881	2.891072074	4.130757245	1.906550865	1.611571085	2.525847948	2.079646386	2.166000787
0.22	OVOC	ovoc	Y	C3H6O	propylene oxide	2019	2.934836093	1.724492985	2.142707939	2.807231665	3.368954018	2.164169353	2.37242005	2.058197061	3.129785509	3.655135637	4.007534116	2.409103191	2.05459922	3.853652601	4.82511792	3.310538938	5.876320714	3.024699468	2.939372853	3.406638775	3.673756499	5.442339152	3.030167561	2.956064898	2.341326709	4.181875528	2.384210476	3.203642602	2.742500801	3.840292401	3.172294681	2.196254041	2.175521569	2.018481899	3.798793707	3.648287733	3.718606872	3.391552891	4.088389461	5.052844168
0.228	ISO	isoprene		C5H8	isoprene	2019	6.409464704	6.230791529	5.394649507	5.945604396	4.697152174	6.103783343	9.586277695	7.579712145	10.0548904	1.105924361	8.226421325	0.308796032	0.242808753	0.249032612	0.370315662	0.404168199	0.540261665	0.453625958	0.265415342	0.323450658	0.49488136	0.454749164	1.474098354	0.906781035	0.90706977	1.376081395	1.035842142	1.751124958	0.29853398	0.382631164	0.250036526	0.255750488	0.360257216	0.319309656	0.491875644	1.159573806	0.251815783	0.367886649	0.529741643	5.299145352
0.246	OTHER	sulfo	Y		sulfo	2019	1.76636064	0.506019449	1.10933196	1.439508908	0.420434413	0.43444507	0.730638124	0.247611692	0.921399914	1.051625103	1.009266534	0.261530922	0.641544786	0.939662774	1.76361028	0.841409692	0.846929984	1.481319142	0.859360805	0.76632341	0.112334456	2.356327338	2.060750327	0.670554573	0.757875515	2.91770558	0.99618314	0.66893266	1.688109457	1.328926359	1.391028111	1.534821796	0.593153217	0.434871415	2.915246902	0.817448334	0.90489952	0.78454759	1.342148265	2.3841285
0.255	OTHER	other	Y		other	2019	0.160721393	0.154891873	0.14545799	0.140999655	0.16266419	0.205752039	0.117508374	0.221263495	0.127902494	0.334163408	0.346105359	0.205963904	0.17275939	0.261917449	0.246106145	0.137641884	0.295353818	0.116325378	0.158745343	0.120745145	0.358224627	0.192713094	0.285002772	0.191462536	0.268836883	0.338553337	0.226926755	0.227783149	0.196550411	0.210084466	0.166305818	0.237732688	0.196610511	0.163769686	0.216238609	0.154138712	0.070775894	0.116176754	0.098542335	0.154249551
0.258	OVOC	alcohol	Y	C3H8O	1-propanol	2019	0.286141496	0.078582446	0.052743428	0.078893981	0.084823006	0.05290814	0.062013613	0.057663998	0.673193712	0.079352699	0.140813105	0.092155332	0.121300844	8.144505872	0.140562282	0.122700705	0.176065915	0.078442056	0.052787439	0.085437487	0.073597347	0.110694405	0.126303853	0.091038349	0.093076945	0.092483338	0.094748378	0.176254698	0.116518112	0.153144991	0.103001634	0.09339514	0.088135874	0.080528269	0.103455088	0.076594164	0.083888053	0.051832992	0.060810266	0.136044606
0.264	OTHER	other	Y	C3H10OSi	trimethylsilanol	2019	1.145907012	0.908208431	0.691947263	1.22288805	1.072887072	0.829376718	0.919618028	1.024923905	1.157578733	1.829493409	1.800691977	1.321603309	1.781220232	1.829321902	0.989382756	0.963028103	1.305671945	1.155103756	0.918126937	1.293074868	1.040599825	1.501108561	3.708703766	2.221197618	1.474815779	1.476579152	1.780556625	2.731532911	1.465786305	2.64299061	1.382133569	2.012620069	2.768194996	1.8184947	1.481918377	2.608964656	1.145602207	1.174509134	1.132781743	1.988403169
0.265	OTHER	nitro	Y	CH3NO2	nitro-methane	2019	0.40436725	0.189270386	0.219404337	0.438445069	0.042503391	0.031128283	0.236813174	0.073672331	0.42842408	0.060552639	0.375704611	0.41568963	0.632146831	0.843391655	0.447839065	1.044671298	0.272116139	0.822399742	0.278881933	0.957145005	0.321608382	0.856358823	0.861649679	0.231781142	0.125424543	0.61845379	1.228397821	0.420525554	0.209953585	0.89537392	0.166577095	0.384418556	0.645233945	0.538548579	0.650226202	0.301796146	0.329092222	0.132174008	0.903779607	1.697559678
0.268	OVOC	ovoc		C4H6O	vinyl ether	2019	0.240926188	0.2476867	0.221083286	0.255375821	0.310187071	0.275975964	0.312974042	0.288133884	0.41545267	0.334055177	0.396261599	0.183646382	0.165880734	0.235401384	0.285666165	0.235210335	0.495658837	0.218491356	0.265992912	0.304795816	0.506732464	0.281091452	0.269703199	0.287109361	0.232832018	0.351902988	0.231869249	0.274201701	0.18148187	0.243185786	0.19412739	0.227282587	0.206687821	0.187876611	0.240543474	0.356288593	0.255671674	0.267656038	0.432731157	0.522777887
0.283	HC	alkane		C5H10	alkane	2019	1.320506764	0.973441496	1.333302893	1.251782776	1.683272815	1.4303986	1.799768743	1.318674624	1.707204222	1.370030429	1.979601025	0.792416978	0.54976666	0.907206499	1.111992879	0.84992473	1.510897469	1.072759463	0.866821777	0.905613617	1.14911273	0.996763679	1.256796815	1.332618767	0.90790972	0.403397405	0.744118198	1.18681711	0.816437907	0.464418799	0.776059091	0.623736995	0.74867492	0.606774994	1.042767172	1.368421983	0.950636957	1.04767203	1.152114771	2.479813832
0.297	OVOC	ketone		C4H6O	methyl vinyl ketone	2019	0.852968853	0.390311232	0.575346902	0.623964819	0.82951238	0.591415403	0.621027285	0.644462794	0.843716581	0.806117462	0.925775475	0.714868253	0.497081106	0.736985825	1.328762972	0.866034563	2.515895548	1.11729547	1.198810121	1.338738787	1.404244017	1.610326439	0.901284899	0.902688322	0.540321599	1.018360422	0.676697538	0.790024772	0.644352327	1.074443763	0.913515695	0.615961863	0.763476255	0.606412888	0.850605917	0.891509555	1.412080149	0.793147135	0.738399498	1.106626079
0.305	OVOC	ketone		C4H6O	2-butanone	2019	0.827666636	0.548001253	0.622452049	1.293618987	1.003190212	0.703800835	0.737742901	0.85010514	2.84543697	1.120439301	1.166320272	0.828750264	0.706542956	0.759553415	1.432683184	1.096797986	1.978184162	1.017129996	1.131934743	1.278805361	1.523493462	1.412100508	1.02295419	0.890144429	0.782580751	1.01614022	0.714997653	1.008518709	0.663934944	1.016435918	0.944178692	0.707181745	0.843915984	0.673158086	0.833139912	0.996020377	1.077122535	0.814647619	1.129268383	1.384521918
0.306	HC	alkane		C6H14	hexane	2019	0.271432832	0.209691833	0.23576259	1.072044133	0.325919303	0.285232509	0.301713501	0.338809911	8.486366905	0.30453203	0.330422722	0.361014177	0.403398904	1.123636618	0.579099585	0.577901458	1.154229936	0.603453748	0.741641544	0.67399246	0.874517194	0.757113412	1.454585127	0.800308263	0.463997844	0.540774757	0.415370583	0.530349175	0.731542717	0.473708642	0.349585587	0.287116397	0.706277396	0.304014764	0.350513508	0.438556691	0.942638612	0.6282381	1.099084659	1.413604209
0.313	OVOC	furan		C5H6O	2-methylfuran	2019	0.330858542	0.307209403	0.38698769	0.368062811	0.412741194	0.321743551	0.325622204	0.288298407	0.349702276	0.510443739	0.399793431	0.273037716	0.23191398	0.306852489	0.35563815	0.298337848	0.480778025	0.329086703	0.29268975	0.343073281	0.415634919	0.366643989	0.600748432	0.747684588	0.379500659	0.988128001	0.37020981	0.415102975	0.429413423	0.337874632	0.276395561	0.264071456	0.344677682	0.252006797	0.321951134	0.698727209	0.361645289	0.507871972	0.362657849	0.673595493
0.309	OVOC	furan		C5H6O	furan	2019	0.131210961	0.122727122	0.115393147	0.120875631	0.170744174	0.162865632	0.183363755	0.197487517	0.166155795	0.348118193	0.233973596	0.062571784	0.055722864	0.059303662	0.133411802	0.091292	0.23641843	0.118244424	0.11716682	0.132203717	0.212325854	0.144112799	0.184575483	0.239206581	0.135895638	0.217481382	0.11664952	0.130496188	0.136810115	0.114853437	0.084077987	0.057395644	0.099054828	0.0856206	0.076558333	0.346861512	0.057751997	0.160128234	0.146041208	0.357697232
0.321	OVOC	ester		C4H8O2	ethyl acetate	2019	0.010587831	0.003359477	0.004980798	0.522249071	0.01093482	0.006014586	0.004599515	0.002398347	1.67389131	0.011659547	0.026903311	0.011169651	0.022160325	0.061924053	0.017500856	0.024495258	0.017759847	0.032426827	0.018470672	0.027546059	0.015584628	0.031276958	0.212423387	0.041827467	0.027254722	0.108934524	0.032011595	0.061915878	0.027974234	0.032355477	0.026014536	0	0.034564473	0	0.028785124	0.027009533	0.046663693	0.028123244	0.021145459	0.212599848
0.325	OVOC	ester	Y	C3H6O3	carbonic acid, dimethyl ester	2019	0.020001433	0.000855984	0.005675013	0.092746171	0.018040255	0.004113776	0.002249215	0	0.205680798	0.028383394	0.020680828	0.000763967	0.009626094	0.026533108	0.004728459	0.012626079	0.001593723	0.006573753	0.002396514	0	0	0	0.037465323	0.003653441	0.002695106	0.04845564	0.02595411	0.014239826	0.004007735	0.016735271	0	0.002736127	0.004414869	0.000874496	0.010561514	0.004584005	0.004480054	0	0	0.015623196
0.315	OTHER	halogen	?	C6H3F3	1,2,4-trifluorobenzene	2019	1.046313143	0.077664626	0.171057568	0.64435467	0.848910881	0.146430865	0.587389485	0.262940843	0.831906355	0.595867602	1.158057817	0.212881467	0.294358564	0.772097759	1.367939885	1.131743869	0.595529221	0.310680132	0.067243909	0.299303419	0.200314599	1.128595257	0.710517178	0.191302563	0.33437406	1.174677436	0.458059267	0.315384124	0.86986755	1.847398167	1.146775631	0.301892117	0.212711933	0.262982067	0.444550184	0.43170644	0.317897293	0.294454283	0.360326226	1.083518012
0.339	HC	alkane		C6H12	methyl cyclopentane	2019	0.033104287	0.037388492	0.033003223	0.324363816	0.035285317	0.038917961	0.047977773	0.045996225	2.393382016	0.043399321	0.052829267	0.080138387	0.091051335	0.297917143	0.104175977	0.111740673	0.122459625	0.103778328	0.077285473	0.141238962	0.158450524	0.152413013	0.439246898	0.122560095	0.0974324	0.073442974	0.06354302	0.065005668	0.113861849	0.059789771	0.050860469	0.033137136	0.059856672	0.050824018	0.044674803	0.036097607	0.058259135	0.042386362	0.148111295	0.198901409
0.338	OVOC	ester		C4H8O2	methyl propionate	2019	0.003982469	0.007136139	0.007005741	0.013575399	0.00634882	0.006193985	0.009600127	0.007541695	0.036702269	0.013265976	0.01776692	0.014967625	0.006743946	0.015939935	0.011380014	0.011180347	0.015507351	0.01407159	0.00849107	0.004860013	0.01690951	0.019448156	0.023565501	0.017532291	0.009651396	0.015731209	0.013024578	0.005160823	0.00086868	0.014498872	0.00672803	0.005963164	0.01211345	0.009859234	0.011725982	0.008976497	0.003843278	0.005255112	0.00681475	0.031272363
0.352	OVOC	furan		C5H10O	furan	2019	0.001081929	0.000373896	0.000443928	0.000338308	0.000607369	0.000413943	0.001809469	0.000633462	0.001202732	0.001999705	0	0.000536375	0.001760019	0.003544739	0	0	0.004081612	0	0.001182343	0.003628963	0	0	0	0.005944715	0.004748025	0	0.000801311	0.004877286	0.000161963	0.007142917	0	0.000574034	0.001652655	0.001190619	0.001698685	0.001127343	0.000706463	0.000877772	9.99924E-05	0.005905129
0.353	OVOC	furan		C4H8O2	2-methyl-1,3-dioxolane	2019	0.471840125	0.363133907	0.394488108	0.408356566	0.454490333	0.406826377	0.55040565	0.440974188	0.742602772	0.652806324	0.782377572	0.580629267	0.803619646	0.783826121	0.252933262	0.440002532	0.345136292	0.325797128	0.319236448	0.414238645	0.358131846	0.318219098	0.862155774	0.438060934	0.836609422	0.352381831	1.080292542	0.600722021	0.33827886	0.781499842	0.445845791	0.710465597	0.673977105	0.421498874	0.453244177	0.477050633	0.371692978	0.512705164	0.484461608	1.016165227
0.366	OVOC	ketone		C5H10O	3-methyl-2-butanone	2019	0.031052395	0.026761874	0.036103765	0.025737361	0.055426485	0.042498122	0.061618292	0.046556467	0.050305203	0.052133284	0.04432417	0.02427354	0.016758606	0.026202856	0.058346044	0.029333289	0.099794418	0.052159773	0.060106174	0.056938838	0.093245923	0.069955039	0.057337329	0.058678205	0.046009104	0.04059414	0.056447538	0.034620736	0.011587334	0.023937846	0.025140866	0.01922076	0.033942837	0.02028633	0.023539333	0.05166702	0.057323018	0.03849219	0.040337071	0.072411778
0.377	HC	Bz		C6H6	benzene	2019	0.988290371	0.879624596	0.84576111	1.021566148	1.197759016	0.989161801	0.968338616	1.000802023	0.867659715	1.16908219	1.199130838	0.994216096	0.811197817	1.026948054	1.41721593	0.98813554	1.781365915	1.355458573	1.390316401	1.166447284	1.595304147	1.113768862	1.3380286	1.227241127	0.992955387	1.311800883	1.18619081	1.045605906	1.086701535	1.25876443	0.891420096	0.949493602	1.048753862	1.109131861	1.240292207	2.010555137	2.520015886	1.746969952	2.576741662	3.902812103
0.372	HC	alkane		C6H12	cyclohexane	2019	0.739663914	0.992588281	0.891701288	2.019619592	0.760884708	0.899344944	0.842901523	0.870743392	4.477428746	0.707291083	0.791113094	0.891240786	0.939543669	1.340128635	6.944335536	6.411392554	6.639188997	6.946285535	6.149846819	6.813307958	7.653549113	7.496387234	1.627160419	0.939207	1.077243336	0.956558887	1.003947752	0.797224041	0.913090281	0.801078846	0.79877671	0.841933702	0.855879164	0.955281398	0.94602159	0.451660791	3.290874522	0.473482106	6.152118077	1.463113663
0.382	OVOC	furan		C5H8O	2-ethylacrolein	2019	1.164412128	0.576951797	0.526894236	1.008617499	1.659203759	1.453388356	1.379026515	2.063082456	0.751595616	1.070311057	1.071507007	1.510721362	0.549856014	0.723128525	3.035299087	1.194232783	5.389127011	2.201542599	2.798213411	2.933665999	6.280503261	3.320591257	2.03104523	1.649852927	0.662039464	0.763596955	1.6828993	1.382027472	0.550715114	1.722272791	0.842753766	1.023871011	2.021867088	1.688275758	2.185355698	3.177702499	3.776742792	1.630678107	1.521105779	2.654421414
0.389	HC	alkane		C7H16	3-methyl-hexane	2019	0.184534742	0.173109999	0.161802454	0.214484251	0.1921497	0.187790556	0.20008189	0.198088107	0.367555764	0.181859376	0.201235557	0.243037117	0.218550491	0.276089871	0.530706253	0.367767833	0.476989715	0.529482944	0.405922083	0.531681162	0.762896575	0.332835926	0.152133242	0.223000706	0.215683395	0.151618244	0.215066392	0.198692236	0.02056957	0.20783758	0.182355882	0.159734203	0.22306006	0.23929994	0.214406271	0.157267998	0.221339362	0.110787608	0.706199822	0.154834272
0.394	OTHER	other	Y	C6H18OSi2	hexamethyl-disiloxane	2019	0.053493593	0.025711887	0.033392284	0.025637761	0.029800428	0.012700124	0.045100965	0.020634004	0.02961002	0.075448617	0.06851241	0.130619127	0.198683003	0.161376529	0.039550436	0.037744603	0.004416421	0.08032416	0.013978215	0.025223377	0	0.017169905	0.404615089	0.14942448	0.070625491	0.080830767	0.098086236	0.235713012	0.063984453	0.215284602	0.112933954	0.219971477	0.231615053	0.200706377	0.089459283	0.104422709	0.02603023	0.136229149	0.090723483	0.005420893
0.395	OTHER	other	?		other	2019	0.162191012	0.143560473	0.192168614	0.140424178	0.21059072	0.233046056	0.253702758	0.198415828	0.244250954	0.102363193	0.174492001	0.11854332	0.072643821	0.10029828	0.103703393	0.081487324	0.168647325	0.135780107	0.107806564	0.170254127	0.19420426	0.112261815	0.17410333	0.168951491	0.211768291	0.2062587	0.199809442	0.13355072	0.078068696	0.132781783	0.088488751	0.063401905	0.094324044	0.078051153	0.138346453	0.128956743	0.185998759	0.12029967	0.108916435	0.504852587
