"Filename","RRT","Group","Class","MF","VOC","Mass_ng","Site","Year","Month","Sample","Plot","ID","Treatment","Tenax_tube","Depth_collar_cm","Radius_collar","Surface_area_m2","V_collar_cm3","V_chamber_cm3","V_total_cm3","Conc_ug_L","ER_ug_m2_h","Conc_blank","ER_blank","ER_final"
"1.1_c_AUG.CDF",1.806,"OVOC","ovoc","C11H18O2","ester",0,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,0,0,2.79101746506986e-06,0.00512431796977216,0
"1.1_c_AUG.CDF",1.779,"OTHER","other","","other",NA,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,NA,NA,NA,NA,NA
"1.1_c_AUG.CDF",1.835,"ST","ST","C15H22","st",0.012149727,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,6.0627380239521e-06,0.0139334441302932,1.00159401197605e-05,0.0183893016013663,0
"1.1_c_AUG.CDF",1.812,"OVOC","ketone","C13H22O","6,10-dimethyl-5,9-undecadien-2-one",0.101843232,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,5.08199760479042e-05,0.116794968571762,4.87833867265469e-05,0.0895664711374108,0.027228497434351
"1.1_c_AUG.CDF",1.78,"OVOC","ovoc","C10H16O2","trans-4-hydroxy-3-methyl-6-(1-methylethyl)-2-cyclohexen-1-one",0.005757575,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,2.87304141716567e-06,0.0066028520302121,2.99330538922156e-06,0.00549571931633181,0.00110713271388028
"1.1_c_AUG.CDF",1.792,"ST","ST","C15H24","b-caryophyllene",0.049902623,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,2.49015084830339e-05,0.0572288916060075,3.3902877245509e-05,0.0622458029268523,0
"1.1_c_AUG.CDF",1.764,"oMT","oMT","","omt",0,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,0,0,0,0,0
"1.1_c_AUG.CDF",1.764,"OVOC","oBz","","obz",NA,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,NA,NA,NA,NA,NA
"1.1_c_AUG.CDF",1.818,"ST","ST","C15H24","st",NA,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,NA,NA,NA,NA,NA
"1.1_c_AUG.CDF",1.823,"ST","ST","C15H24","aromandendrene",0.099087241,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,4.94447310379242e-05,0.113634366969595,6.63331751497006e-05,0.12178794495761,0
"1.1_c_AUG.CDF",2.027,"HC","alkane","","alkane",0.662235999,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,0.000330457085329341,0.759459722274861,0.000224089238522954,0.411428637107074,0.348031085167787
"1.1_c_AUG.CDF",2.039,"OTHER","other","C16H30O4","pentanoic acid, 2,2,4-trimethyl-3-carboxyisopropyl, isobutyl ester",0.038801847,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,1.93621991017964e-05,0.044498396328303,5.79579441117765e-06,0.0106410991052538,0.0338572972230492
"1.1_c_AUG.CDF",1.953,"OVOC","oBz","C10H6O3","phenylmaleic anhydride",NA,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,NA,NA,NA,NA,NA
"1.1_c_AUG.CDF",1.986,"oST","oST","C15H26O","nerolidol",0.227513736,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,0.000113529808383234,0.260915321754165,0.000107322796906188,0.197045035953876,0.0638702858002898
"1.1_c_AUG.CDF",2.087,"oST","oST","C15H24O","ost",0.151167174,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,7.54327215568862e-05,0.173360222271933,6.1396244510978e-05,0.112723722786255,0.0606364994856784
"1.1_c_AUG.CDF",2.117,"oST","oST","C15H24O","ost",0,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,0,0,1.75290883233533e-05,0.0321834683635111,0
"1.1_c_AUG.CDF",2.049,"oST","oST","C15H24O","caryophyllene oxide",0.029506977,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,1.47240404191617e-05,0.0338389344454691,2.32090933133733e-05,0.0426119776806415,0
