"RRT"	"Group"	"Class"	"Exclude"	"MF"	"VOC"	"X10.11_n_JUN.CDF"	"X1.1_c_JUN.CDF"	"X2.2_h_JUN.CDF"	"X3.3_hxn_JUN.CDF"	"X4.4_hxn_JUN.CDF"	"X5.5_h_JUN.CDF"	"X6.6_n_JUN.CDF"	"X7.7_hxn_JUN.CDF"	"X8.8_h_JUN.CDF"	"X9.9_n_JUN.CDF"	"X11.12_c_JUN.CDF"	"X12.19_c_JUN.CDF"	"X13.Blank_JUN.CDF"	"X1.1_c_AUG.CDF"	"X2.1_c_OCT.CDF"	"X3.2_h_AUG.CDF"	"X4.2_h_OCT.CDF"	"X5.3_hxn_AUG.CDF"	"X6.3_hxn_OCT.CDF"	"X8.5_h_AUG.CDF"	"X9.5_h_OCT.CDF"	"X10.6_n_AUG.CDF"	"X11.6_n_OCT.CDF"	"X12.7_hxn_AUG.CDF"	"X13.7_hxn_OCT.CDF"	"X14.8_h_AUG.CDF"	"X15.8_h_OCT.CDF"	"X16.9_n_AUG.CDF"	"X17.9_n_OCT.CDF"	"X18.11_n_AUG.CDF"	"X19.11_n_OCT.CDF"	"X20.12_c_AUG.CDF"	"X21.12_c_OCT.CDF"	"X22.19_c_AUG.CDF"	"X23.19_c_OCT.CDF"	"X24.Blank_AUG.CDF"	"X25.Blank_OCT.CDF"	"X7.4_hxn_AUG.CDF"	"Year"
0.209	"OTHER"	"sulfo"	"Y"	"O2S"	"sulfur dioxide"	4.778793226	6.013771202	7.053607319	4.65274753	4.285724998	5.855868251	7.40573954	4.832187596	3.679612194	5.214099455	4.219735249	4.219498567	5.838510009	38.12384784	25.75273727	35.7678802	26.5683743	52.54564889	22.98719759	55.06036516	22.63285532	46.73907363	21.76978066	24.89363014	24.05387437	1.475325042	21.31886816	26.62273674	20.80882782	30.45830942	24.9182808	7.315613717	21.66771067	25.9190518	21.9472376	11.43818841	18.61917074	25.91570981	2018
0.238	"HC"	"alkane"	"?"	"C5H12"	"2-methyl-butane"	61.61596487	1.915820873	1.284751662	1.870613728	1.585710779	1.672821733	1.353621806	1.282581257	1.674070806	1.21033427	1.707280408	1.659798107	1.158551322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
0.243	"OTHER"	"nitro"	"?"	"C5H11NO"	"1-(dimethylamino)-2-propanone"	18.34608965	2.341214179	2.514068007	2.376255815	1.765794751	2.412681599	2.475519631	2.379000806	3.003279231	2.299231118	2.804244421	1.931057344	2.241926563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
0.228	"ISO"	"isoprene"	""	"C5H8"	"isoprene"	9.698299773	7.858859791	3.732396983	7.238054869	4.397719726	5.612337579	5.846813702	3.82666244	5.210068388	3.218475539	5.257645792	7.15720888	4.711854476	11.2894252	1.910105498	9.473268459	2.697540324	4.554754951	2.744030938	6.411358904	2.615736698	15.59135602	2.448134307	4.437931378	2.826158236	18.08127603	2.251594159	8.10416801	4.005173647	15.01625098	3.28519252	3.927442595	2.43113242	3.846576952	3.320007293	7.046261497	2.738259086	4.092504618	2018
0.258	"OTHER"	"other"	"Y"	"C2H7P"	"dimethylphosphine"	0	0.413778675	0.323052681	0.250479833	0.105595953	0.265885261	0.306403316	0.202287018	0.231154189	0.11344606	0.229384754	0.176562229	0.220602125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
0.26	"OVOC"	"ester"	"Y"	"C3H6O2"	"acetic acid, methyl ester"	56.52303049	0.081227078	0.049009882	0.063551734	0.024414129	0.065593963	0.046022002	0.045096616	0.133126933	0.029286407	0.05685555	0.0517178	0.040198433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
0.255	"OTHER"	"other"	"Y"	""	"other"	3.034341089	3.091491521	4.171247853	1.482474085	1.735936165	3.132769131	3.393404396	1.902960909	2.565122964	2.945018263	2.810319708	2.641213734	2.429638532	6.293731868	3.116155573	1.270187717	2.701173581	8.814128015	1.814390281	6.186409718	1.078438433	6.531244516	5.565626997	3.056819339	2.589229929	3.417176161	3.288465299	2.471438444	2.080997327	1.594497047	1.884517255	1.140381394	1.088526074	2.377003059	1.792018867	1.575811448	2.805345925	5.897617052	2018
0.27	"OTHER"	"sulfo"	"Y"	"CS2"	"carbon disulfide"	7.647489124	0.142061027	0.170799034	0.128667924	0.101189303	0.146648134	0.157817652	0.096448453	0.082336782	0.118535542	0.11215516	0.106171348	0.306887883	1.367370623	0.56030271	2.102815118	0.566700319	2.552761545	0.577689908	2.875880395	0.629532823	1.933254277	0.563190466	0.685148882	0.766202429	0.729787447	0.489089299	0.706550743	0.559746482	0.746294716	0.657140889	0.651366306	0.529985826	0.679810015	0.642272717	0.638105848	0.463965496	2.693544971	2018
0.264	"OTHER"	"other"	"Y"	"C3H10OSi"	"trimethylsilanol"	6.37196722	0.780949955	1.612739522	0.479530839	0.575529234	0.510419535	0.757849702	1.237929613	0.780563992	0.516397859	1.270599254	1.013387103	0.602433393	2.993462488	3.969734915	3.529859134	3.153572173	3.072817952	2.653220909	3.215180455	2.865781217	3.360034074	5.163533508	2.746073452	4.686766591	3.217248818	2.497311709	1.975886814	2.156281935	2.097196525	2.545594347	0.596133615	2.836166193	3.509189648	2.729806152	2.030441649	1.972985102	3.799803636	2018
0.285	"HC"	"alkane"	""	"C5H10"	"cyclopentane"	819.5261016	1.900057527	1.654455521	1.589970705	1.276635558	1.87730812	1.761078652	1.509394663	3.545353251	1.167461068	2.605715906	1.796449703	1.786153905	2.683889429	1.127321613	3.530765844	1.402967814	2.850645378	1.372398427	2.831685445	1.373406118	3.733123446	1.297492815	2.078402952	1.591253569	2.052420041	1.284562814	1.84834797	1.861003209	2.252024101	1.478369862	2.533066156	1.524249614	1.652659608	2.038598461	2.176247482	1.175479828	4.150094027	2018
