Filename,RRT,Group,Class,MF,Treatment,ID,Year,Month,VOC,ER_final,log_10,Plot,sampling
10.2386_191101_48_9_n.CDF,1.362,OVOC,oBz,C10H14O,N,9_n,2019,August,"a,a,4-trimethyl-benzenemethanol",0,6.08,9,four
10.2386_191101_48_9_n.CDF,0.352,OVOC,furan,C5H10O,N,9_n,2019,August,furan,0,6.86,9,four
11.2387_191101_49_11_n.CDF,1.507,OTHER,nitro,C8H7N,N,11_n,2019,August,indole,0,7.48,11,four
10.2386_191101_48_9_n.CDF,0.77,OVOC,acid,C6H8O2,N,9_n,2019,August,sorbic acid,0,7.6,9,four
10.2386_191101_48_9_n.CDF,0.339,HC,alkane,C6H12,N,9_n,2019,August,methyl cyclopentane,0,7.64,9,four
11.2387_191101_49_11_n.CDF,1.779,ST,ST,C15H24,N,11_n,2019,August,st,0.01,7.79,11,four
10.2386_191101_48_9_n.CDF,1.162,HC,Bz,C10H12,N,9_n,2019,August,bz,0.01,7.86,9,four
11.2387_191101_49_11_n.CDF,1.861,ST,ST,C15H24,N,11_n,2019,August,trans-a-bisabolene,0.01,7.89,11,four
10.2386_191101_48_9_n.CDF,0.309,OVOC,furan,C5H6O,N,9_n,2019,August,furan,0.01,8.08,9,four
10.2386_191101_48_9_n.CDF,0.797,OVOC,ovoc,C7H12O,N,9_n,2019,August,ovoc,0.01,8.09,9,four
10.2386_191101_48_9_n.CDF,0.366,OVOC,ketone,C5H10O,N,9_n,2019,August,3-methyl-2-butanone,0.01,8.11,9,four
10.2386_191101_48_9_n.CDF,0.715,HC,Bz,C8H10,N,9_n,2019,August,ethylbenzene,0.02,8.2,9,four
10.2386_191101_48_9_n.CDF,0.944,OVOC,alcohol,C8H16O,N,9_n,2019,August,1-octen-3-ol,0.02,8.22,9,four
11.2387_191101_49_11_n.CDF,1.898,ST,ST,C15H24,N,11_n,2019,August,a-farnesene,0.02,8.25,11,four
11.2387_191101_49_11_n.CDF,1.94,ST,ST,C15H24,N,11_n,2019,August,a-bisabolene,0.02,8.3,11,four
11.2387_191101_49_11_n.CDF,1.7,ST,ST,C15H24,N,11_n,2019,August,st,0.03,8.53,11,four
10.2386_191101_48_9_n.CDF,0.82,OTHER,other,,N,9_n,2019,August,other,0.04,8.6,9,four
10.2386_191101_48_9_n.CDF,0.389,HC,alkane,C7H16,N,9_n,2019,August,3-methyl-hexane,0.04,8.63,9,four
10.2386_191101_48_9_n.CDF,0.466,HC,alkane,C7H14,N,9_n,2019,August,methyl cyclohexane,0.04,8.65,9,four
10.2386_191101_48_9_n.CDF,0.377,HC,Bz,C6H6,N,9_n,2019,August,benzene,0.05,8.69,9,four
11.2387_191101_49_11_n.CDF,1.648,HC,alkane,C14H30,N,11_n,2019,August,tetradecane,0.05,8.73,11,four
10.2386_191101_48_9_n.CDF,0.775,HC,Bz,C8H8,N,9_n,2019,August,styrene,0.05,8.74,9,four
10.2386_191101_48_9_n.CDF,0.395,OTHER,other,,N,9_n,2019,August,other,0.07,8.83,9,four
10.2386_191101_48_9_n.CDF,0.728,HC,alkane,C9H20,N,9_n,2019,August,2-methyl-octane,0.07,8.85,9,four
10.2386_191101_48_9_n.CDF,0.63,HC,alkane,C9H20,N,9_n,2019,August,"2,4-dimethyl-heptane",0.08,8.89,9,four
10.2386_191101_48_9_n.CDF,0.918,HC,alkane,C10H20,N,9_n,2019,August,alkane,0.08,8.93,9,four
10.2386_191101_48_9_n.CDF,0.818,HC,alkane,C9H18,N,9_n,2019,August,alkane,0.09,8.93,9,four
10.2386_191101_48_9_n.CDF,0.306,HC,alkane,C6H14,N,9_n,2019,August,hexane,0.09,8.93,9,four
10.2386_191101_48_9_n.CDF,0.536,HC,alkane,C8H18,N,9_n,2019,August,2-methyl-heptane,0.12,9.08,9,four
10.2386_191101_48_9_n.CDF,0.831,HC,alkane,C10H22,N,9_n,2019,August,"3,4,5-trimethyl-heptane",0.12,9.09,9,four
10.2386_191101_48_9_n.CDF,0.708,HC,alkene,C9H18,N,9_n,2019,August,"1,2,4-trimethyl-cyclohexane",0.12,9.09,9,four
10.2386_191101_48_9_n.CDF,0.879,HC,alkane,C10H22,N,9_n,2019,August,3-ethyl-2-methyl-heptane,0.13,9.11,9,four
10.2386_191101_48_9_n.CDF,0.845,OTHER,other,,N,9_n,2019,August,other,0.14,9.13,9,four
10.2386_191101_48_9_n.CDF,0.866,MT,MT,C10H16,N,9_n,2019,August,a-pinene,0.14,9.14,9,four
10.2386_191101_48_9_n.CDF,0.905,OVOC,ovoc,,N,9_n,2019,August,ovoc,0.14,9.14,9,four
10.2386_191101_48_9_n.CDF,0.657,HC,alkane,,N,9_n,2019,August,alkane,0.14,9.16,9,four
10.2386_191101_48_9_n.CDF,0.962,HC,Bz,C9H10,N,9_n,2019,August,a-methylstyrene,0.16,9.2,9,four
10.2386_191101_48_9_n.CDF,0.726,HC,alkane,C9H20,N,9_n,2019,August,4-methyl-octane,0.17,9.23,9,four
10.2386_191101_48_9_n.CDF,0.68,HC,alkene,C9H18,N,9_n,2019,August,"1,1,3-trimethyl-cyclohexane",0.19,9.28,9,four
11.2387_191101_49_11_n.CDF,1.812,OVOC,oBz,C14H22O,N,11_n,2019,August,"2,4-di-tert-butylphenol",0.21,9.32,11,four
10.2386_191101_48_9_n.CDF,0.779,HC,alkene,C9H18,N,9_n,2019,August,1-ethyl-4-methylcyclohexane,0.21,9.33,9,four
10.2386_191101_48_9_n.CDF,0.773,HC,alkane,,N,9_n,2019,August,alkane,0.23,9.35,9,four
10.2386_191101_48_9_n.CDF,0.863,OTHER,other,,N,9_n,2019,August,other,0.27,9.43,9,four
10.2386_191101_48_9_n.CDF,0.372,HC,alkane,C6H12,N,9_n,2019,August,cyclohexane,0.27,9.44,9,four
10.2386_191101_48_9_n.CDF,0.67,HC,alkane,C9H20,N,9_n,2019,August,"2,5-dimethyl-heptane",0.28,9.44,9,four
