Filename,RRT,Group,Class,MF,Treatment,ID,Year,Month,VOC,ER_final,log_10,Plot,sampling
22.19_c_AUG.CDF,1.764,oMT,oMT,,C,19_c,2018,August,omt,0,5.21,19,two
8.5_h_AUG.CDF,1.846,ST,ST,C15H24,H,5_h,2018,August,a-humulene,0,5.75,5,two
20.12_c_AUG.CDF,1.635,oMT,oMT,,C,12_c,2018,August,omt,0,5.82,12,two
20.12_c_AUG.CDF,1.47,oMT,oMT,C10H16O,C,12_c,2018,August,omt,0,6.05,12,two
16.9_n_AUG.CDF,1.764,oMT,oMT,,N,9_n,2018,August,omt,0,6.27,9,two
20.12_c_AUG.CDF,0.547,OVOC,ester,C6H12O2,C,12_c,2018,August,"butanoic acid, 2-methyl-, methyl ester",0,6.45,12,two
8.5_h_AUG.CDF,1.093,HC,alkane,C10H20,H,5_h,2018,August,alkane,0,6.49,5,two
7.4_hxn_AUG.CDF,1.47,oMT,oMT,C10H16O,HxN,4_hxn,2018,August,omt,0,6.5,4,two
18.11_n_AUG.CDF,1.511,OVOC,ovoc,,N,11_n,2018,August,ovoc,0,6.52,11,two
14.8_h_AUG.CDF,0.516,OVOC,ovoc,C6H14O2,H,8_h,2018,August,"2,2-dimethoxybutane",0,6.7,8,two
10.6_n_AUG.CDF,1.511,OVOC,ovoc,,N,6_n,2018,August,ovoc,0,6.72,6,two
3.2_h_AUG.CDF,1.565,OVOC,ovoc,,H,2_h,2018,August,ovoc,0,6.72,2,two
20.12_c_AUG.CDF,1.023,OVOC,ovoc,C9H18O,C,12_c,2018,August,methoxy-cyclooctane,0,6.74,12,two
20.12_c_AUG.CDF,1.168,OVOC,oBz,C9H12O,C,12_c,2018,August,"a,a-dimethyl-benzenemethanol",0,6.82,12,two
16.9_n_AUG.CDF,0.547,OVOC,ester,C6H12O2,N,9_n,2018,August,"butanoic acid, 2-methyl-, methyl ester",0,6.89,9,two
22.19_c_AUG.CDF,1.835,ST,ST,C15H22,C,19_c,2018,August,st,0,6.91,19,two
7.4_hxn_AUG.CDF,1.635,oMT,oMT,,HxN,4_hxn,2018,August,omt,0,6.93,4,two
22.19_c_AUG.CDF,0.732,HC,Bz,C8H10,C,19_c,2018,August,p-xylene,0,7.03,19,two
1.1_c_AUG.CDF,1.78,OVOC,ovoc,C10H16O2,C,1_c,2018,August,trans-4-hydroxy-3-methyl-6-(1-methylethyl)-2-cyclohexen-1-one,0,7.04,1,two
18.11_n_AUG.CDF,0.516,OVOC,ovoc,C6H14O2,N,11_n,2018,August,"2,2-dimethoxybutane",0,7.06,11,two
5.3_hxn_AUG.CDF,1.511,OVOC,ovoc,,HxN,3_hxn,2018,August,ovoc,0,7.07,3,two
3.2_h_AUG.CDF,1.424,OTHER,other,,H,2_h,2018,August,other,0,7.07,2,two
18.11_n_AUG.CDF,1.898,ST,ST,C15H24,N,11_n,2018,August,a-farnesene,0,7.08,11,two
5.3_hxn_AUG.CDF,1.47,oMT,oMT,C10H16O,HxN,3_hxn,2018,August,omt,0,7.08,3,two
1.1_c_AUG.CDF,1.093,HC,alkane,C10H20,C,1_c,2018,August,alkane,0,7.18,1,two
18.11_n_AUG.CDF,1.362,OVOC,oBz,C10H14O,N,11_n,2018,August,"a,a,4-trimethyl-benzenemethanol",0,7.2,11,two
16.9_n_AUG.CDF,1.898,ST,ST,C15H24,N,9_n,2018,August,a-farnesene,0,7.22,9,two
22.19_c_AUG.CDF,1.215,oMT,oMT,C10H16O,C,19_c,2018,August,b-thujone,0,7.24,19,two
3.2_h_AUG.CDF,1.47,oMT,oMT,C10H16O,H,2_h,2018,August,omt,0,7.24,2,two
3.2_h_AUG.CDF,1.362,OVOC,oBz,C10H14O,H,2_h,2018,August,"a,a,4-trimethyl-benzenemethanol",0,7.27,2,two
22.19_c_AUG.CDF,1.47,oMT,oMT,C10H16O,C,19_c,2018,August,omt,0,7.27,19,two
16.9_n_AUG.CDF,0.402,OVOC,ester,C5H10O2,N,9_n,2018,August,methyl isobutyrate,0,7.27,9,two
3.2_h_AUG.CDF,1.215,oMT,oMT,C10H16O,H,2_h,2018,August,b-thujone,0,7.28,2,two
1.1_c_AUG.CDF,1.277,OTHER,other,,C,1_c,2018,August,ovoc,0,7.29,1,two
10.6_n_AUG.CDF,1.093,HC,alkane,C10H20,N,6_n,2018,August,alkane,0,7.3,6,two
14.8_h_AUG.CDF,1.764,oMT,oMT,,H,8_h,2018,August,omt,0,7.33,8,two
14.8_h_AUG.CDF,1.47,oMT,oMT,C10H16O,H,8_h,2018,August,omt,0,7.37,8,two
18.11_n_AUG.CDF,1.47,oMT,oMT,C10H16O,N,11_n,2018,August,omt,0,7.39,11,two
10.6_n_AUG.CDF,1.362,OVOC,oBz,C10H14O,N,6_n,2018,August,"a,a,4-trimethyl-benzenemethanol",0,7.41,6,two
16.9_n_AUG.CDF,1.375,OVOC,oBz,C11H16O,N,9_n,2018,August,obz,0,7.41,9,two
