Filename,RRT,Group,Class,MF,Treatment,ID,Year,Month,VOC,ER_final,log_10,Plot,sampling
6.6_n_JUN.CDF,1.442,GLV,ester,C11H22O2,N,6_n,2018,June,"butanoic acid, 2-methyl-, hexyl ester",0,5.49,6,one
2.2_h_JUN.CDF,1.442,GLV,ester,C11H22O2,H,2_h,2018,June,"butanoic acid, 2-methyl-, hexyl ester",0,5.99,2,one
1.1_c_JUN.CDF,1.94,ST,ST,C15H24,C,1_c,2018,June,a-bisabolene,0,6.34,1,one
9.9_n_JUN.CDF,1.442,GLV,ester,C11H22O2,N,9_n,2018,June,"butanoic acid, 2-methyl-, hexyl ester",0,6.41,9,one
5.5_h_JUN.CDF,1.22,OVOC,oBz,C9H12O2,H,5_h,2018,June,benzaldehyde dimethyl acetal,0,6.43,5,one
5.5_h_JUN.CDF,1.442,GLV,ester,C11H22O2,H,5_h,2018,June,"butanoic acid, 2-methyl-, hexyl ester",0,6.49,5,one
1.1_c_JUN.CDF,1.22,OVOC,oBz,C9H12O2,C,1_c,2018,June,benzaldehyde dimethyl acetal,0,6.54,1,one
9.9_n_JUN.CDF,1.665,OTHER,other,,N,9_n,2018,June,other,0,6.59,9,one
12.19_c_JUN.CDF,0.844,HC,Bz,C9H12,C,19_c,2018,June,(1-methylethyl)benzene,0,6.65,19,one
7.7_hxn_JUN.CDF,1.22,OVOC,oBz,C9H12O2,HxN,7_hxn,2018,June,benzaldehyde dimethyl acetal,0,6.73,7,one
12.19_c_JUN.CDF,0.781,HC,Bz,C8H10,C,19_c,2018,June,o-xylene,0,6.74,19,one
1.1_c_JUN.CDF,1.442,GLV,ester,C11H22O2,C,1_c,2018,June,"butanoic acid, 2-methyl-, hexyl ester",0,6.77,1,one
3.3_hxn_JUN.CDF,1.22,OVOC,oBz,C9H12O2,HxN,3_hxn,2018,June,benzaldehyde dimethyl acetal,0,6.87,3,one
5.5_h_JUN.CDF,1.779,OTHER,other,,H,5_h,2018,June,other,0,6.9,5,one
5.5_h_JUN.CDF,0.844,HC,Bz,C9H12,H,5_h,2018,June,(1-methylethyl)benzene,0,7.04,5,one
2.2_h_JUN.CDF,1.623,oMT,oMT,,H,2_h,2018,June,omt,0,7.15,2,one
9.9_n_JUN.CDF,0.844,HC,Bz,C9H12,N,9_n,2018,June,(1-methylethyl)benzene,0,7.16,9,one
2.2_h_JUN.CDF,0.636,HC,alkene,C8H14,H,2_h,2018,June,"1,3-octadiene",0,7.18,2,one
2.2_h_JUN.CDF,1.565,OVOC,ovoc,,H,2_h,2018,June,ovoc,0,7.2,2,one
12.19_c_JUN.CDF,1.009,MT,MT,C10H16,C,19_c,2018,June,a-phellandrene,0,7.23,19,one
3.3_hxn_JUN.CDF,1.442,GLV,ester,C11H22O2,HxN,3_hxn,2018,June,"butanoic acid, 2-methyl-, hexyl ester",0,7.28,3,one
5.5_h_JUN.CDF,1.093,HC,alkane,C10H20,H,5_h,2018,June,alkane,0,7.31,5,one
9.9_n_JUN.CDF,1.764,oMT,oMT,,N,9_n,2018,June,omt,0,7.32,9,one
2.2_h_JUN.CDF,1.22,OVOC,oBz,C9H12O2,H,2_h,2018,June,benzaldehyde dimethyl acetal,0,7.34,2,one
1.1_c_JUN.CDF,1.599,oMT,oMT,C10H16O,C,1_c,2018,June,omt,0,7.38,1,one
7.7_hxn_JUN.CDF,2.027,HC,alkane,,HxN,7_hxn,2018,June,alkane,0,7.4,7,one
12.19_c_JUN.CDF,1.846,ST,ST,C15H24,C,19_c,2018,June,a-humulene,0,7.41,19,one
1.1_c_JUN.CDF,1.461,OTHER,sulfo,C7H11NS,C,1_c,2018,June,isothiocyanato-cyclohexane,0,7.42,1,one
12.19_c_JUN.CDF,1.665,OTHER,other,,C,19_c,2018,June,other,0,7.43,19,one
1.1_c_JUN.CDF,1.331,OVOC,ovoc,C10H22O2,C,1_c,2018,June,octanal dimethyl acetal,0,7.43,1,one
11.12_c_JUN.CDF,1.565,OVOC,ovoc,,C,12_c,2018,June,ovoc,0,7.43,12,one
11.12_c_JUN.CDF,1.665,OTHER,other,,C,12_c,2018,June,other,0,7.44,12,one
4.4_hxn_JUN.CDF,1.442,GLV,ester,C11H22O2,HxN,4_hxn,2018,June,"butanoic acid, 2-methyl-, hexyl ester",0,7.44,4,one
6.6_n_JUN.CDF,1.623,oMT,oMT,,N,6_n,2018,June,omt,0,7.45,6,one
4.4_hxn_JUN.CDF,1.565,OVOC,ovoc,,HxN,4_hxn,2018,June,ovoc,0,7.46,4,one
9.9_n_JUN.CDF,1.331,OVOC,ovoc,C10H22O2,N,9_n,2018,June,octanal dimethyl acetal,0,7.46,9,one
12.19_c_JUN.CDF,0.775,HC,Bz,C8H8,C,19_c,2018,June,styrene,0,7.47,19,one
11.12_c_JUN.CDF,1.94,ST,ST,C15H24,C,12_c,2018,June,a-bisabolene,0,7.48,12,one
1.1_c_JUN.CDF,1.511,OVOC,ovoc,,C,1_c,2018,June,ovoc,0,7.48,1,one
12.19_c_JUN.CDF,0.456,OVOC,ester,C5H10O2,C,19_c,2018,June,"butanoic acid, methyl ester",0,7.48,19,one
6.6_n_JUN.CDF,0.456,OVOC,ester,C5H10O2,N,6_n,2018,June,"butanoic acid, methyl ester",0,7.49,6,one
4.4_hxn_JUN.CDF,0.382,OVOC,furan,C5H10O,HxN,4_hxn,2018,June,furan,0,7.5,4,one
3.3_hxn_JUN.CDF,1.461,OTHER,sulfo,C7H11NS,HxN,3_hxn,2018,June,isothiocyanato-cyclohexane,0,7.52,3,one
1.1_c_JUN.CDF,1.835,ST,ST,C15H22,C,1_c,2018,June,st,0,7.53,1,one
5.5_h_JUN.CDF,0.401,HC,alkene,C6H10,H,5_h,2018,June,cyclohexene,0,7.53,5,one
5.5_h_JUN.CDF,1.511,OVOC,ovoc,,H,5_h,2018,June,ovoc,0,7.55,5,one
5.5_h_JUN.CDF,1.846,ST,ST,C15H24,H,5_h,2018,June,a-humulene,0,7.56,5,one
12.19_c_JUN.CDF,1.442,GLV,ester,C11H22O2,C,19_c,2018,June,"butanoic acid, 2-methyl-, hexyl ester",0,7.56,19,one
12.19_c_JUN.CDF,1.898,ST,ST,C15H24,C,19_c,2018,June,a-farnesene,0,7.56,19,one
9.9_n_JUN.CDF,0.456,OVOC,ester,C5H10O2,N,9_n,2018,June,"butanoic acid, methyl ester",0,7.56,9,one
6.6_n_JUN.CDF,2.07,ST,ST,C15H24O,N,6_n,2018,June,ost,0,7.56,6,one
1.1_c_JUN.CDF,1.846,ST,ST,C15H24,C,1_c,2018,June,a-humulene,0,7.56,1,one
6.6_n_JUN.CDF,1.764,oMT,oMT,,N,6_n,2018,June,omt,0,7.58,6,one
3.3_hxn_JUN.CDF,0.943,OVOC,ovoc,,HxN,3_hxn,2018,June,ovoc,0,7.58,3,one
1.1_c_JUN.CDF,1.818,ST,ST,C15H24,C,1_c,2018,June,st,0,7.61,1,one
4.4_hxn_JUN.CDF,1.779,OTHER,other,,HxN,4_hxn,2018,June,other,0,7.61,4,one
9.9_n_JUN.CDF,0.396,OVOC,ovoc,C4H8O2,N,9_n,2018,June,"1,3-dioxane",0,7.61,9,one
1.1_c_JUN.CDF,1.664,OVOC,ovoc,,C,1_c,2018,June,ovoc,0,7.62,1,one
12.19_c_JUN.CDF,1.351,GLV,ester,C10H18O2,C,19_c,2018,June,cis-3-hexenyl butyrate,0,7.63,19,one
1.1_c_JUN.CDF,1.009,MT,MT,C10H16,C,1_c,2018,June,a-phellandrene,0,7.64,1,one
7.7_hxn_JUN.CDF,2.07,ST,ST,C15H24O,HxN,7_hxn,2018,June,ost,0,7.66,7,one
1.1_c_JUN.CDF,0.958,MT,MT,C10H16,C,1_c,2018,June,b-pinene,0,7.66,1,one
11.12_c_JUN.CDF,1.331,OVOC,ovoc,C10H22O2,C,12_c,2018,June,octanal dimethyl acetal,0,7.66,12,one
11.12_c_JUN.CDF,1.779,OTHER,other,,C,12_c,2018,June,other,0,7.67,12,one
6.6_n_JUN.CDF,1.22,OVOC,oBz,C9H12O2,N,6_n,2018,June,benzaldehyde dimethyl acetal,0,7.67,6,one
9.9_n_JUN.CDF,1.482,OVOC,oBz,C10H12O2,N,9_n,2018,June,thymoquinone,0,7.68,9,one
