Filename,RRT,Group,Class,MF,Treatment,ID,Year,Month,VOC,ER_final,log_10,Plot,sampling
2.1_c_OCT.CDF,1.47,oMT,oMT,C10H16O,C,1_c,2018,October,omt,0,5.75,1,three
13.7_hxn_OCT.CDF,1,GLV,ester,C8H14O2,HxN,7_hxn,2018,October,cis-3-hexenyl acetate,0,6.19,7,three
2.1_c_OCT.CDF,1.023,OVOC,ovoc,C9H18O,C,1_c,2018,October,methoxy-cyclooctane,0,6.23,1,three
23.19_c_OCT.CDF,0.911,HC,alkane,,C,19_c,2018,October,alkane,0,6.44,19,three
23.19_c_OCT.CDF,2.039,OTHER,other,C16H30O4,C,19_c,2018,October,"pentanoic acid, 2,2,4-trimethyl-3-carboxyisopropyl, isobutyl ester",0,6.5,19,three
9.5_h_OCT.CDF,1.47,oMT,oMT,C10H16O,H,5_h,2018,October,omt,0,6.52,5,three
21.12_c_OCT.CDF,1.623,oMT,oMT,,C,12_c,2018,October,omt,0,6.56,12,three
21.12_c_OCT.CDF,0.547,OVOC,ester,C6H12O2,C,12_c,2018,October,"butanoic acid, 2-methyl-, methyl ester",0,6.57,12,three
23.19_c_OCT.CDF,1,GLV,ester,C8H14O2,C,19_c,2018,October,cis-3-hexenyl acetate,0,6.58,19,three
19.11_n_OCT.CDF,1.47,oMT,oMT,C10H16O,N,11_n,2018,October,omt,0,6.65,11,three
17.9_n_OCT.CDF,0.628,OVOC,ovoc,C7H14O,N,9_n,2018,October,1-methoxy-2-hexene,0,6.76,9,three
15.8_h_OCT.CDF,1.47,oMT,oMT,C10H16O,H,8_h,2018,October,omt,0,6.79,8,three
15.8_h_OCT.CDF,0.516,OVOC,ovoc,C6H14O2,H,8_h,2018,October,"2,2-dimethoxybutane",0,6.81,8,three
9.5_h_OCT.CDF,1.388,OVOC,aldehyde,C10H20O,H,5_h,2018,October,decanal,0,6.85,5,three
2.1_c_OCT.CDF,0.911,HC,alkane,,C,1_c,2018,October,alkane,0,6.86,1,three
21.12_c_OCT.CDF,1.023,OVOC,ovoc,C9H18O,C,12_c,2018,October,methoxy-cyclooctane,0,6.92,12,three
19.11_n_OCT.CDF,0.628,OVOC,ovoc,C7H14O,N,11_n,2018,October,1-methoxy-2-hexene,0,6.94,11,three
4.2_h_OCT.CDF,1.511,OVOC,ovoc,,H,2_h,2018,October,ovoc,0,7.01,2,three
23.19_c_OCT.CDF,1.277,OTHER,other,,C,19_c,2018,October,ovoc,0,7.06,19,three
2.1_c_OCT.CDF,1.093,HC,alkane,C10H20,C,1_c,2018,October,alkane,0,7.06,1,three
23.19_c_OCT.CDF,1.47,oMT,oMT,C10H16O,C,19_c,2018,October,omt,0,7.09,19,three
23.19_c_OCT.CDF,1.665,OTHER,other,,C,19_c,2018,October,other,0,7.1,19,three
11.6_n_OCT.CDF,0.401,HC,alkene,C6H10,N,6_n,2018,October,cyclohexene,0,7.2,6,three
11.6_n_OCT.CDF,1.375,OVOC,oBz,C11H16O,N,6_n,2018,October,obz,0,7.2,6,three
6.3_hxn_OCT.CDF,1.365,OVOC,oBz,C9H10O,HxN,3_hxn,2018,October,1-(3-methylphenyl)-ethanone,0,7.2,3,three
21.12_c_OCT.CDF,1.565,OVOC,ovoc,,C,12_c,2018,October,ovoc,0,7.21,12,three
6.3_hxn_OCT.CDF,1.47,oMT,oMT,C10H16O,HxN,3_hxn,2018,October,omt,0,7.23,3,three
23.19_c_OCT.CDF,1.635,oMT,oMT,,C,19_c,2018,October,omt,0,7.23,19,three
13.7_hxn_OCT.CDF,1.709,OVOC,aldehyde,C12H22O,HxN,7_hxn,2018,October,aldehyde,0,7.24,7,three
23.19_c_OCT.CDF,0.456,OVOC,ester,C5H10O2,C,19_c,2018,October,"butanoic acid, methyl ester",0,7.24,19,three
2.1_c_OCT.CDF,0.962,HC,Bz,C9H10,C,1_c,2018,October,a-methylstyrene,0,7.26,1,three
13.7_hxn_OCT.CDF,2.148,oST,oST,C15H24O,HxN,7_hxn,2018,October,ost,0,7.27,7,three
