acid,alcohol,aldehyde,alkane,alkene,Bz,ester,furan,halogen,isoprene,ketone,MT,nitro,oBz,oMT,oST,other,ovoc,ST,sulfo,treatment,ID,,,,sesquiterpene,other,monoterpene,ketone,isoprene,halogen,furan,ester,benzenoid,alkene,alkane,aldehyde,alcohol,acid,
0,1.26,1.03,19.36,4.47,8.86,0.47,1.76,2.12,6.49,3.1,7.79,2.15,13.08,0.06,0.24,0.37,1.31,0.03,0,C,1_c_Aug_2018,,,C,0.862666667,1.0275,3.915333333,1.568,1.202,0.207333333,3.373333333,1.915333333,8.302333333,1.546,12.91066667,7.232666667,1.658,0.016666667,45.73783333
0.12,0.39,12.36,25.6,6.24,13.36,2,3.91,0.52,4.7,2.79,0.35,1.75,34.72,0.3,0.04,3.41,0.21,0.01,0,C,1_c_June_2018,,,H,3.156333333,2.015666667,1.617,3.343333333,2.096666667,0.167333333,2.368,3.393333333,15.771,1.401333333,22.88133333,10.188,4.267333333,0.013333333,72.68
0,5.83,0.77,9.39,0.49,1,2.99,0.56,0.28,0,1.05,0.98,1.32,6.64,0.09,0.9,1.11,3.19,0.26,0,C,1_c_Oct_2018,,,N,2.650357143,2.995714286,1.141428571,4.670714286,2.452857143,0.143571429,3.378571429,4.006428571,14.77285714,1.307857143,23.23357143,17.12857143,4.829285714,0.007142857,82.71892857
0.01,0,0.09,20.48,3.27,11.89,0.07,0.37,0,0,0.21,0.04,0,1.34,0,0.06,2.85,2.02,2.71,0,C,1_c_Oct_2019,,,HxN,3.731785714,3.627857143,2.28,6.172142857,0.434285714,0.17,1.524285714,2.655,12.67142857,1.512142857,27.34071429,15.79142857,8.392142857,0.01,86.31321429
0,0,0,2.19,0.29,1.73,0.14,0.36,0.14,0,0.19,0.19,0.13,1.56,0,0,0.24,0.23,16.67,0,C,1_c_Sept_2019,,,,,,,,,,,,,,,,,,
0,0.32,0.83,10.8,0.82,4.97,0,5.77,0.02,0,0.17,0.32,0,11.23,0,0.08,0.01,2.38,0,0,C,12_c_August_2018,,,,,,,,,,,,,,,,,,
0.12,2.19,38.85,18.02,3.19,9.56,6.32,11.65,0.02,1.66,5.48,89.44,2.43,49.08,0.33,0.25,0.29,1.65,0.61,0.3,C,12_c_June_2018,,,,Std err,,,,,,,,,,,,,,
0,1.94,0.32,9.28,0.67,1.17,3.01,2.78,0.01,0.25,2.77,1.34,0.22,8.29,0.04,0.13,1.28,4.45,0.02,0,C,12_c_Oct_2018,,,,acid,alcohol,aldehyde,alkane,alkene,benzenoid,ester,furan,halogen,isoprene,ketone,monoterpene,other,sesquiterpene,
0,0,3.62,4.22,0.15,5.03,1.71,1.98,0,0,0.37,0.16,0,0.24,0.07,0,0.17,0.05,0.01,0,C,12_c_Oct_2019,,,control,0.010484557,0.60012532,3.231956747,2.195069114,0.471189323,2.873735292,0.507605154,0.734962231,0.136932965,0.515747742,0.370948574,4.136872664,0.392480042,0.771708043,4.600796875
0,0.17,6.43,5.34,0.16,3.72,2.25,3.78,0,0,0.69,0.31,0.05,1.07,0.05,0.09,0.44,2.1,0.01,0,C,12_c_Sept_2019,,,heated,0.008977338,1.528522734,3.225928318,4.293075444,0.303039222,6.429492337,1.023997685,0.499235148,0.059602138,1.006145855,0.963996158,0.748181841,0.732745578,2.150487333,6.673188583
