ID,plot,sampling,treatment,Total_VOCs,CP_crude_protein_nitrogen,rank_crude,ADF_Cellulose_Lignin_Ash,rank_ADF_cellu,NDF_Hemicellulose_Cellulose_Lignin_Ash,rank_ADF_hemi,ADF_NDF,rank_ADF_NDF,cellulose,rank_cellulose,hemicellulose,rank_hemicellulose,Lignin,rank_lignin
3_hxn_Aug_2018,3,two,HxN,138.69,4.6,1,66,51,68.7,44,96.1,51,53.75,55,2.7,1,12.25,1
3_hxn_Sept_2019,3,four,HxN,102.09,5.1,2,61.7,50,67.3,43,91.7,50,46.93,54,5.6,4,14.77,2
11_n_Oct_2019,11,five,N,55.36,6.1,4,28.5,1,37.8,1,75.5,12,4.75,19,9.3,23,23.75,3
1_c_Oct_2018,1,three,C,36.85,10.4,27,48,47,55.7,41,86.2,42,22.89,52,7.7,16,25.11,4
7_hxn_Oct_2019,7,five,HxN,32.9,6.7,5,31.9,3,45.9,8,69.4,2,6.12,24,14,48,25.78,5
3_hxn_June_2018,3,one,HxN,53.29,5.6,3,52.5,49,58.4,42,89.9,47,26.2,53,5.9,5,26.3,6
1_c_June_2018,1,one,C,112.78,8.2,12,43.8,37,57.7,41,75.9,13,16.99,51,13.9,47,26.81,7
3_hxn_Oct_2019,3,five,HxN,104.17,11.1,32,32.6,7,45.5,6,71.6,6,4.04,15,12.9,43,28.56,8
5_h_Oct_2019,5,five,H,55.33,6.7,5,32.3,5,44.6,3,72.4,7,2.4,9,12.3,41,29.9,9
1_c_Oct_2019,1,five,C,45.41,8.9,16,34.2,10,46.2,10,74.1,9,4.19,16,12,39,30.01,10
8_h_Oct_2019,8,five,H,26.28,7.6,8,33.3,9,47.5,13,70.1,3,2.61,11,14.2,49,30.69,11
6_n_Oct_2019,6,five,N,121.29,8.1,11,32.2,4,42.8,2,75.2,11,1.46,5,10.6,33,30.74,12
9_n_Oct_2019,9,five,N,24.04,7.2,6,32.2,4,46.4,11,69.3,1,1.24,4,14.2,49,30.96,13
