ID,plot,sampling,treatment,Total_VOCs,Ca,rank_Ca,P,rank_P,Mg,rank_Mg,K,rank_K,Na,rank_Na,Fe,rank_Fe,Mn,rank_Mn,Zn,rank_Zn,Cu,rank_Cu
12_c_Oct_2019,12,five,control,17.78,0.42,5,0.1,4,0.12,6,0.31,19,0.01,2,94,1,291,1,28,1,6,2
5_h_Oct_2019,5,five,heated,55.33,0.49,11,0.1,4,0.15,9,0.28,17,0.01,2,115,2,412,9,38,8,6,2
9_n_Oct_2019,9,five,nitrogen,24.04,0.48,10,0.09,3,0.15,9,0.26,16,0.01,2,123,3,432,13,30,2,6,2
6_n_Aug_2018,6,two,nitrogen,110.87,0.55,16,0.08,2,0.07,2,0.09,1,0,1,157,4,472,19,34,5,6,2
9_n_Oct_2018,9,three,nitrogen,191.68,0.43,6,0.14,8,0.13,7,0.44,23,0.01,2,160,5,400,6,37,7,9,5
11_n_Oct_2019,11,five,nitrogen,55.36,0.57,18,0.13,7,0.16,10,0.2,12,0.01,2,168,6,594,46,32,3,7,3
1_c_Sept_2019,1,four,control,24.06,0.67,28,0.11,5,0.13,7,0.14,6,0,1,172,7,544,36,40,10,7,3
4_hxn_June_2018,4,one,hxn,332.78,0.55,16,0.09,3,0.1,4,0.19,11,0,1,178,8,453,17,35,6,6,2
6_n_Oct_2019,6,five,nitrogen,121.29,0.52,13,0.13,7,0.14,8,0.34,20,0.01,2,188,9,482,21,32,3,8,4
12_c_June_2018,12,one,control,241.44,0.55,16,0.08,2,0.1,4,0.11,3,0,1,196,10,418,10,37,7,7,3
9_n_June_2018,9,one,nitrogen,158.38,0.52,13,0.09,3,0.1,4,0.1,2,0,1,200,11,480,20,38,8,9,5
19_c_Oct_2019,19,five,control,21.18,0.62,23,0.13,7,0.17,11,0.34,20,0.01,2,216,12,579,43,33,4,7,3
5_h_Sept_2019,5,four,heated,20.35,0.61,22,0.1,4,0.1,4,0.13,5,0,1,218,13,575,42,44,14,6,2
11_n_Aug_2018,11,two,nitrogen,189.25,0.53,14,0.11,5,0.09,3,0.14,6,0,1,218,13,387,5,40,10,8,4
8_h_Oct_2019,8,five,heated,26.28,0.46,8,0.09,3,0.12,6,0.22,14,0.01,2,219,14,411,8,33,4,7,3
12_c_Sept_2019,12,four,control,26.66,0.64,25,0.12,6,0.11,5,0.15,7,0,1,229,15,463,18,42,12,7,3
5_h_June_2018,5,one,heated,61.66,0.55,16,0.07,1,0.1,4,0.11,3,0,1,247,16,447,14,35,6,6,2
7_hxn_Sept_2019,7,four,hxn,13.93,0.63,24,0.12,6,0.1,4,0.11,3,0,1,250,17,620,48,40,10,8,4
11_n_Sept_2019,11,four,nitrogen,89.4,0.63,24,0.12,6,0.11,5,0.11,3,0,1,256,18,589,45,43,13,8,4
6_n_Oct_2018,6,three,nitrogen,193.51,0.6,21,0.11,5,0.07,2,0.13,5,0.01,2,265,19,490,24,37,7,7,3
4_hxn_Sept_2019,4,four,hxn,3.12,0.54,15,0.12,6,0.09,3,0.13,5,0,1,272,20,497,26,41,11,8,4
8_h_Sept_2019,8,four,heated,17.72,0.69,29,0.11,5,0.12,6,0.14,6,0,1,287,21,635,50,47,15,7,3
9_n_Aug_2018,9,two,nitrogen,70.45,0.49,11,0.1,4,0.1,4,0.12,4,0,1,288,22,426,11,38,8,8,4
19_c_Sept_2019,19,four,control,16.19,0.78,30,0.12,6,0.15,9,0.17,9,0,1,300,23,639,51,43,13,8,4
12_c_August_2018,12,two,control,37.72,0.65,26,0.14,8,0.13,7,0.2,12,0,1,305,24,622,49,47,15,8,4
12_c_Oct_2018,12,three,control,37.97,0.64,25,0.1,4,0.1,4,0.15,7,0,1,314,25,507,28,49,17,7,3
19_c_Oct_2018,19,three,control,63.87,0.63,24,0.11,5,0.11,5,0.15,7,0,1,318,26,449,15,39,9,8,4
19_c_June_2018,19,one,control,70.28,0.58,19,0.11,5,0.12,6,0.24,15,0,1,346,27,489,23,34,5,7,3
2_h_Aug_2018,2,two,heated,125.01,0.57,18,0.08,2,0.09,3,0.12,4,0.01,2,350,28,367,4,34,5,6,2
8_h_Aug_2018,8,two,heated,249.6,0.61,22,0.08,2,0.09,3,0.11,3,0,1,370,29,555,37,42,12,6,2
19_c_Aug_2018,19,two,control,102.37,0.65,27,0.12,6,0.13,7,0.12,4,0,1,376,30,833,54,42,12,8,4
8_h_June_2018,8,one,heated,241.61,0.56,17,0.09,3,0.1,4,0.1,2,0,1,379,31,538,34,42,12,7,3
