CP_crude_protein_nitrogen,ADF_Cellulose_Lignin_Ash,NDF_Hemicellulose_Cellulose_Lignin_Ash,ADF_NDF,cellulose,hemicellulose,Lignin,Ca,P,Mg,K,Na,Fe,Mn,Zn,Cu,temp,HF_rel_humidity,HF_precipitation,respiration,percent_moisture,Temp_T0,thickness_OM,treatment,ID,sampling,Total_VOCs
9.7,39.9,47.4,84.2,7.28,7.5,32.62,0.61,0.11,0.1,0.12,0,1173,569,47,9,13.78,60.76,0,298.9921334,17,25.3,4.28,C,1_c_Aug_2018,two,73.95
8.2,43.8,57.7,75.9,16.99,13.9,26.81,0.45,0.11,0.15,0.14,0.01,6265,779,47,9,13.97,60.76,0,553.7853922,7.3,25.5,4.4,C,1_c_June_2018,one,112.78
10.4,48,55.7,86.2,22.89,7.7,25.11,0.47,0.14,0.12,0.13,0.01,5286,867,54,12,14.11,60.76,0,297.2070541,22.8,10.6,4.28,C,1_c_Oct_2018,three,36.85
8.9,34.2,46.2,74.1,4.19,12,30.01,0.49,0.12,0.13,0.29,0.01,1153,538,35,8,14.14,60.76,0,151.7620104,15.6,11.3,3.92,C,1_c_Oct_2019,five,45.41
11.4,42.4,52.5,80.7,8.2,10.1,34.2,0.67,0.11,0.13,0.14,0,172,544,40,7,14.69,60.76,0,224.9800993,5.6,21.3,4.34,C,1_c_Sept_2019,four,24.06
12.4,39.3,47.5,82.7,5.62,8.2,33.68,0.65,0.14,0.13,0.2,0,305,622,47,8,18.41,60.76,0,320.8269224,30.1,24.2,4.06,C,12_c_August_2018,two,37.72
7.4,37.8,48.9,77.4,3.53,11.1,34.27,0.55,0.08,0.1,0.11,0,196,418,37,7,18.63,60.76,0,374.3758418,25.4,26.1,3.98,C,12_c_June_2018,one,241.44
10.9,43.2,49.4,87.5,6.87,6.2,36.33,0.64,0.1,0.1,0.15,0,314,507,49,7,18.66,60.76,0,86.68834574,35.8,10.7,4.06,C,12_c_Oct_2018,three,37.97
8.8,31.4,45.3,69.4,-1.23,13.9,32.63,0.42,0.1,0.12,0.31,0.01,94,291,28,6,18.68,60.76,0,101.370277,29.3,11.2,5.14,C,12_c_Oct_2019,five,17.78
11.2,41.6,52.5,79.2,8.67,10.9,32.93,0.64,0.12,0.11,0.15,0,229,463,42,7,18.74,60.76,0,182.0006829,8.1,22.3,5.48,C,12_c_Sept_2019,four,26.66
